 KEGG:hsa00010    Glycolysis / Gluconeogenesis
 KEGG:hsa_M00693    Cell cycle - G2/M transition
 KEGG:hsa_M00694    cGMP signaling
 KEGG:hsa_M00695    cAMP signaling
 KEGG:hsa_M00741    "Propanoyl-CoA metabolism  propanoyl-CoA => succinyl-CoA"
 REACT:R-HSA-1059683    Interleukin-6 signaling
 REACT:R-HSA-109581    Apoptosis
 REACT:R-HSA-109582    Hemostasis
 REACT:R-HSA-109606    Intrinsic Pathway for Apoptosis
 REACT:R-HSA-109688    Cleavage of Growing Transcript in the Termination Region
 REACT:R-HSA-109703    PKB-mediated events
 REACT:R-HSA-109704    PI3K Cascade
 REACT:R-HSA-110056    MAPK3 (ERK1) activation
 REACT:R-HSA-110312    Translesion synthesis by REV1
 REACT:R-HSA-110313    Translesion synthesis by Y family DNA polymerases bypasses lesions on DNA template
 REACT:R-HSA-110314    Recognition of DNA damage by PCNA-containing replication complex
 REACT:R-HSA-110320    Translesion Synthesis by POLH
 REACT:R-HSA-110328    Recognition and association of DNA glycosylase with site containing an affected pyrimidine
 REACT:R-HSA-110329    Cleavage of the damaged pyrimidine
 REACT:R-HSA-110330    Recognition and association of DNA glycosylase with site containing an affected purine
 REACT:R-HSA-110331    Cleavage of the damaged purine
 REACT:R-HSA-110357    Displacement of DNA glycosylase by APEX1
 REACT:R-HSA-110362    POLB-Dependent Long Patch Base Excision Repair
 REACT:R-HSA-110373    Resolution of AP sites via the multiple-nucleotide patch replacement pathway
 REACT:R-HSA-110381    Resolution of AP sites via the single-nucleotide replacement pathway
 REACT:R-HSA-111367    SLBP independent Processing of Histone Pre-mRNAs
 REACT:R-HSA-111446    Activation of BIM and translocation to mitochondria
 REACT:R-HSA-111447    Activation of BAD and translocation to mitochondria
 REACT:R-HSA-111448    Activation of NOXA and translocation to mitochondria
 REACT:R-HSA-111452    Activation and oligomerization of BAK protein
 REACT:R-HSA-111453    BH3-only proteins associate with and inactivate anti-apoptotic BCL-2 members
 REACT:R-HSA-111457    Release of apoptotic factors from the mitochondria
 REACT:R-HSA-111458    Formation of apoptosome
 REACT:R-HSA-111459    Activation of caspases through apoptosome-mediated cleavage
 REACT:R-HSA-111461    Cytochrome c-mediated apoptotic response
 REACT:R-HSA-111463    SMAC binds to IAPs
 REACT:R-HSA-111464    SMAC-mediated dissociation of IAP:caspase complexes
 REACT:R-HSA-111465    Apoptotic cleavage of cellular proteins
 REACT:R-HSA-111469    SMAC-mediated apoptotic response
 REACT:R-HSA-111471    Apoptotic factor-mediated response
 REACT:R-HSA-111885    Opioid Signalling
 REACT:R-HSA-111931    PKA-mediated phosphorylation of CREB
 REACT:R-HSA-111932    CaMK IV-mediated phosphorylation of CREB
 REACT:R-HSA-111933    Calmodulin induced events
 REACT:R-HSA-111957    Cam-PDE 1 activation
 REACT:R-HSA-111995    phospho-PLA2 pathway
 REACT:R-HSA-111996    Ca-dependent events
 REACT:R-HSA-111997    CaM pathway
 REACT:R-HSA-112040    G-protein mediated events
 REACT:R-HSA-112043    PLC beta mediated events
 REACT:R-HSA-112122    ALKBH2 mediated reversal of alkylation damage
 REACT:R-HSA-112126    ALKBH3 mediated reversal of alkylation damage
 REACT:R-HSA-112303    Electric Transmission Across Gap Junctions
 REACT:R-HSA-112307    Transmission across Electrical Synapses
 REACT:R-HSA-112308    Depolarization of the Presynaptic Terminal Triggers the Opening of Calcium Channels
 REACT:R-HSA-112310    Neurotransmitter Release Cycle
 REACT:R-HSA-112311    Neurotransmitter Clearance In The Synaptic Cleft
 REACT:R-HSA-112313    Neurotransmitter uptake and Metabolism In Glial Cells
 REACT:R-HSA-112314    Neurotransmitter Receptor Binding And Downstream Transmission In The  Postsynaptic Cell
 REACT:R-HSA-112315    Transmission across Chemical Synapses
 REACT:R-HSA-112316    Neuronal System
 REACT:R-HSA-112382    Formation of RNA Pol II elongation complex
 REACT:R-HSA-112399    IRS-mediated signalling
 REACT:R-HSA-112409    RAF-independent MAPK1/3 activation
 REACT:R-HSA-112411    MAPK1 (ERK2) activation
 REACT:R-HSA-112412    SOS-mediated signalling
 REACT:R-HSA-113418    Formation of the Early Elongation Complex
 REACT:R-HSA-113501    Inhibition of replication initiation of damaged DNA by RB1/E2F1
 REACT:R-HSA-113507    E2F-enabled inhibition of pre-replication complex formation
 REACT:R-HSA-113510    E2F mediated regulation of DNA replication
 REACT:R-HSA-114294    "Activation  translocation and oligomerization of BAX"
 REACT:R-HSA-114452    Activation of BH3-only proteins
 REACT:R-HSA-114508    Effects of PIP2 hydrolysis
 REACT:R-HSA-114516    Disinhibition of SNARE formation
 REACT:R-HSA-114604    GPVI-mediated activation cascade
 REACT:R-HSA-114608    Platelet degranulation
 REACT:R-HSA-1168372    Downstream signaling events of B Cell Receptor (BCR)
 REACT:R-HSA-1169091    Activation of NF-kappaB in B cells
 REACT:R-HSA-1169092    Activation of RAS in B cells
 REACT:R-HSA-1169408    ISG15 antiviral mechanism
 REACT:R-HSA-1169410    Antiviral mechanism by IFN-stimulated genes
 REACT:R-HSA-1170546    Prolactin receptor signaling
 REACT:R-HSA-1181150    Signaling by NODAL
 REACT:R-HSA-1187000    Fertilization
 REACT:R-HSA-1221632    Meiotic synapsis
 REACT:R-HSA-1222352    Latent infection of Homo sapiens with Mycobacterium tuberculosis
 REACT:R-HSA-1222449    Mtb iron assimilation by chelation
 REACT:R-HSA-1222499    Response of Mtb to phagocytosis
 REACT:R-HSA-1222556    "ROS  RNS production in phagocytes"
 REACT:R-HSA-1226099    Signaling by FGFR in disease
 REACT:R-HSA-1227986    Signaling by ERBB2
 REACT:R-HSA-1234158    Regulation of gene expression by Hypoxia-inducible Factor
 REACT:R-HSA-1234162    Oxygen-dependent asparagine hydroxylation of Hypoxia-inducible Factor Alpha
 REACT:R-HSA-1234174    Regulation of Hypoxia-inducible Factor (HIF) by oxygen
 REACT:R-HSA-1234176    Oxygen-dependent proline hydroxylation of Hypoxia-inducible Factor Alpha
 REACT:R-HSA-1236382    Constitutive Signaling by Ligand-Responsive EGFR Cancer Variants
 REACT:R-HSA-1236394    Signaling by ERBB4
 REACT:R-HSA-1236973    Cross-presentation of particulate exogenous antigens (phagosomes)
 REACT:R-HSA-1236974    ER-Phagosome pathway
 REACT:R-HSA-1236975    Antigen processing-Cross presentation
 REACT:R-HSA-1236977    Endosomal/Vacuolar pathway
 REACT:R-HSA-1236978    Cross-presentation of soluble exogenous antigens (endosomes)
 REACT:R-HSA-1237044    Erythrocytes take up carbon dioxide and release oxygen
 REACT:R-HSA-1237112    Methionine salvage pathway
 REACT:R-HSA-1247673    Erythrocytes take up oxygen and release carbon dioxide
 REACT:R-HSA-1250196    SHC1 events in ERBB2 signaling
 REACT:R-HSA-1250342    PI3K events in ERBB4 signaling
 REACT:R-HSA-1250347    SHC1 events in ERBB4 signaling
 REACT:R-HSA-1251932    PLCG1 events in ERBB2 signaling
 REACT:R-HSA-1251985    Nuclear signaling by ERBB4
 REACT:R-HSA-1253288    Downregulation of ERBB4 signaling
 REACT:R-HSA-1257604    PIP3 activates AKT signaling
 REACT:R-HSA-1266695    Interleukin-7 signaling
 REACT:R-HSA-1266738    Developmental Biology
 REACT:R-HSA-1268020    Mitochondrial protein import
 REACT:R-HSA-1280215    Cytokine Signaling in Immune system
 REACT:R-HSA-1280218    Adaptive Immune System
 REACT:R-HSA-1295596    Spry regulation of FGF signaling
 REACT:R-HSA-1296025    ATP sensitive Potassium channels
 REACT:R-HSA-1296041    Activation of G protein gated Potassium channels
 REACT:R-HSA-1296052    Ca2+ activated K+ channels
 REACT:R-HSA-1296053    Classical Kir channels
 REACT:R-HSA-1296059    G protein gated Potassium channels
 REACT:R-HSA-1296061    HCN channels
 REACT:R-HSA-1296065    Inwardly rectifying K+ channels
 REACT:R-HSA-1296067    Potassium transport channels
 REACT:R-HSA-1296071    Potassium Channels
 REACT:R-HSA-1296072    Voltage gated Potassium channels
 REACT:R-HSA-1296346    Tandem pore domain potassium channels
 REACT:R-HSA-1299287    Tandem pore domain halothane-inhibited K+ channel (THIK)
 REACT:R-HSA-1299308    Tandem of pore domain in a weak inwardly rectifying K+ channels (TWIK)
 REACT:R-HSA-1299316    TWIK-releated acid-sensitive K+ channel (TASK)
 REACT:R-HSA-1299344    TWIK-related spinal cord K+ channel (TRESK)
 REACT:R-HSA-1299361    TWIK-related alkaline pH activated K+ channel (TALK)
 REACT:R-HSA-1299503    TWIK related potassium channel (TREK)
 REACT:R-HSA-1300642    Sperm Motility And Taxes
 REACT:R-HSA-1300644    Interaction With The Zona Pellucida
 REACT:R-HSA-1300645    Acrosome Reaction
 REACT:R-HSA-1300652    Sperm:Oocyte Membrane Binding
 REACT:R-HSA-1306955    GRB7 events in ERBB2 signaling
 REACT:R-HSA-1307965    betaKlotho-mediated ligand binding
 REACT:R-HSA-1358803    Downregulation of ERBB2:ERBB3 signaling
 REACT:R-HSA-1362409    Mitochondrial iron-sulfur cluster biogenesis
 REACT:R-HSA-1368071    NR1D1 (REV-ERBA) represses gene expression
 REACT:R-HSA-1368082    RORA activates gene expression
 REACT:R-HSA-1368108    "BMAL1:CLOCK NPAS2 activates circadian gene expression"
 REACT:R-HSA-1369007    Mitochondrial ABC transporters
 REACT:R-HSA-1369062    ABC transporters in lipid homeostasis
 REACT:R-HSA-139853    Elevation of cytosolic Ca2+ levels
 REACT:R-HSA-139910    Activation of BMF and translocation to mitochondria
 REACT:R-HSA-139915    Activation of PUMA and translocation to mitochondria
 REACT:R-HSA-140179    Amine Oxidase reactions
 REACT:R-HSA-140180    COX reactions
 REACT:R-HSA-140342    Apoptosis induced DNA fragmentation
 REACT:R-HSA-140534    Ligand-dependent caspase activation
 REACT:R-HSA-140834    Extrinsic Pathway of Fibrin Clot Formation
 REACT:R-HSA-140837    Intrinsic Pathway of Fibrin Clot Formation
 REACT:R-HSA-140875    Common Pathway of Fibrin Clot Formation
 REACT:R-HSA-140877    Formation of Fibrin Clot (Clotting Cascade)
 REACT:R-HSA-141333    Biogenic amines are oxidatively deaminated to aldehydes by MAOA and MAOB
 REACT:R-HSA-141334    PAOs oxidise polyamines to amines
 REACT:R-HSA-141405    Inhibition of the proteolytic activity of APC/C required for the onset of anaphase by mitotic spindle checkpoint components
 REACT:R-HSA-141424    Amplification of signal from the kinetochores
 REACT:R-HSA-141430    Inactivation of APC/C via direct inhibition of the APC/C complex
 REACT:R-HSA-141444    Amplification  of signal from unattached  kinetochores via a MAD2  inhibitory signal
 REACT:R-HSA-1428517    The citric acid (TCA) cycle and respiratory electron transport
 REACT:R-HSA-1430728    Metabolism
 REACT:R-HSA-1433557    Signaling by SCF-KIT
 REACT:R-HSA-1433559    Regulation of KIT signaling
 REACT:R-HSA-1433617    Regulation of signaling by NODAL
 REACT:R-HSA-1442490    Collagen degradation
 REACT:R-HSA-1445148    Translocation of GLUT4 to the plasma membrane
 REACT:R-HSA-1461957    Beta defensins
 REACT:R-HSA-1461973    Defensins
 REACT:R-HSA-1462054    Alpha-defensins
 REACT:R-HSA-1474151    "Tetrahydrobiopterin (BH4) synthesis  recycling  salvage and regulation"
 REACT:R-HSA-1474165    Reproduction
 REACT:R-HSA-1474228    Degradation of the extracellular matrix
 REACT:R-HSA-1474244    Extracellular matrix organization
 REACT:R-HSA-1474290    Collagen formation
 REACT:R-HSA-1475029    Reversible hydration of carbon dioxide
 REACT:R-HSA-1480926    O2/CO2 exchange in erythrocytes
 REACT:R-HSA-1482788    Acyl chain remodelling of PC
 REACT:R-HSA-1482798    Acyl chain remodeling of CL
 REACT:R-HSA-1482801    Acyl chain remodelling of PS
 REACT:R-HSA-1482839    Acyl chain remodelling of PE
 REACT:R-HSA-1482883    Acyl chain remodeling of DAG and TAG
 REACT:R-HSA-1482922    Acyl chain remodelling of PI
 REACT:R-HSA-1482925    Acyl chain remodelling of PG
 REACT:R-HSA-1483076    Synthesis of CL
 REACT:R-HSA-1483101    Synthesis of PS
 REACT:R-HSA-1483115    Hydrolysis of LPC
 REACT:R-HSA-1483148    Synthesis of PG
 REACT:R-HSA-1483152    Hydrolysis of LPE
 REACT:R-HSA-1483166    Synthesis of PA
 REACT:R-HSA-1483191    Synthesis of PC
 REACT:R-HSA-1483196    PI and PC transport between ER and Golgi membranes
 REACT:R-HSA-1483206    Glycerophospholipid biosynthesis
 REACT:R-HSA-1483213    Synthesis of PE
 REACT:R-HSA-1483226    Synthesis of PI
 REACT:R-HSA-1483248    Synthesis of PIPs at the ER membrane
 REACT:R-HSA-1483249    Inositol phosphate metabolism
 REACT:R-HSA-1483255    PI Metabolism
 REACT:R-HSA-1483257    Phospholipid metabolism
 REACT:R-HSA-1489509    DAG and IP3 signaling
 REACT:R-HSA-1500620    Meiosis
 REACT:R-HSA-1500931    Cell-Cell communication
 REACT:R-HSA-1502540    Signaling by Activin
 REACT:R-HSA-1538133    G0 and Early G1
 REACT:R-HSA-156580    Phase II conjugation
 REACT:R-HSA-156581    Methylation
 REACT:R-HSA-156582    Acetylation
 REACT:R-HSA-156584    Cytosolic sulfonation of small molecules
 REACT:R-HSA-156587    Amino Acid conjugation
 REACT:R-HSA-156588    Glucuronidation
 REACT:R-HSA-156590    Glutathione conjugation
 REACT:R-HSA-1566948    Elastic fibre formation
 REACT:R-HSA-1566977    Fibronectin matrix formation
 REACT:R-HSA-156711    Polo-like kinase mediated events
 REACT:R-HSA-156827    L13a-mediated translational silencing of Ceruloplasmin expression
 REACT:R-HSA-156842    Eukaryotic Translation Elongation
 REACT:R-HSA-156902    Peptide chain elongation
 REACT:R-HSA-157118    Signaling by NOTCH
 REACT:R-HSA-157579    Telomere Maintenance
 REACT:R-HSA-157858    Gap junction trafficking and regulation
 REACT:R-HSA-157881    Cyclin B2 mediated events
 REACT:R-HSA-15869    Metabolism of nucleotides
 REACT:R-HSA-1592230    Mitochondrial biogenesis
 REACT:R-HSA-159227    Transport of the SLBP independent Mature mRNA
 REACT:R-HSA-159230    Transport of the SLBP Dependant Mature mRNA
 REACT:R-HSA-159231    Transport of Mature mRNA Derived from an Intronless Transcript
 REACT:R-HSA-159234    Transport of Mature mRNAs Derived from Intronless Transcripts
 REACT:R-HSA-159236    Transport of Mature mRNA derived from an Intron-Containing Transcript
 REACT:R-HSA-1592389    Activation of Matrix Metalloproteinases
 REACT:R-HSA-159418    Recycling of bile acids and salts
 REACT:R-HSA-159424    Conjugation of carboxylic acids
 REACT:R-HSA-159740    Gamma-carboxylation of protein precursors
 REACT:R-HSA-159763    Transport of gamma-carboxylated protein precursors from the endoplasmic reticulum to the Golgi apparatus
 REACT:R-HSA-159782    Removal of aminoterminal propeptides from gamma-carboxylated proteins
 REACT:R-HSA-159854    "Gamma-carboxylation  transport  and amino-terminal cleavage of proteins"
 REACT:R-HSA-1606322    ZBP1(DAI) mediated induction of type I IFNs
 REACT:R-HSA-1606341    IRF3 mediated activation of type 1 IFN
 REACT:R-HSA-1614517    Sulfide oxidation to sulfate
 REACT:R-HSA-1614558    Degradation of cysteine and homocysteine
 REACT:R-HSA-1614603    Cysteine formation from homocysteine
 REACT:R-HSA-1614635    Sulfur amino acid metabolism
 REACT:R-HSA-162582    Signal Transduction
 REACT:R-HSA-162585    Uncoating of the HIV Virion
 REACT:R-HSA-162587    HIV Life Cycle
 REACT:R-HSA-162588    Budding and maturation of HIV virion
 REACT:R-HSA-162589    Reverse Transcription of HIV RNA
 REACT:R-HSA-162592    Integration of provirus
 REACT:R-HSA-162594    Early Phase of HIV Life Cycle
 REACT:R-HSA-162599    Late Phase of HIV Life Cycle
 REACT:R-HSA-162658    Golgi Cisternae Pericentriolar Stack Reorganization
 REACT:R-HSA-162699    Synthesis of dolichyl-phosphate mannose
 REACT:R-HSA-162710    Synthesis of glycosylphosphatidylinositol (GPI)
 REACT:R-HSA-162791    Attachment of GPI anchor to uPAR
 REACT:R-HSA-162906    HIV Infection
 REACT:R-HSA-162909    Host Interactions of HIV factors
 REACT:R-HSA-1630316    Glycosaminoglycan metabolism
 REACT:R-HSA-163125    Post-translational modification: synthesis of GPI-anchored proteins
 REACT:R-HSA-163200    "Respiratory electron transport  ATP synthesis by chemiosmotic coupling  and heat production by uncoupling proteins."
 REACT:R-HSA-163210    Formation of ATP by chemiosmotic coupling
 REACT:R-HSA-163282    Mitochondrial transcription initiation
 REACT:R-HSA-1632852    Macroautophagy
 REACT:R-HSA-163316    Mitochondrial transcription termination
 REACT:R-HSA-163358    PKA-mediated phosphorylation of key metabolic factors
 REACT:R-HSA-163359    Glucagon signaling in metabolic regulation
 REACT:R-HSA-163560    Hormone-sensitive lipase (HSL)-mediated triacylglycerol hydrolysis
 REACT:R-HSA-163615    PKA activation
 REACT:R-HSA-163680    AMPK inhibits chREBP transcriptional activation activity
 REACT:R-HSA-163685    Integration of energy metabolism
 REACT:R-HSA-163754    Insulin effects increased synthesis of Xylulose-5-Phosphate
 REACT:R-HSA-163765    ChREBP activates metabolic gene expression
 REACT:R-HSA-163767    PP2A-mediated dephosphorylation of key metabolic factors
 REACT:R-HSA-1638074    Keratan sulfate/keratin metabolism
 REACT:R-HSA-1638091    Heparan sulfate/heparin (HS-GAG) metabolism
 REACT:R-HSA-163841    "Gamma carboxylation  hypusine formation and arylsulfatase activation"
 REACT:R-HSA-1640170    Cell Cycle
 REACT:R-HSA-1643685    Disease
 REACT:R-HSA-1643713    Signaling by EGFR in Cancer
 REACT:R-HSA-164378    PKA activation in glucagon signalling
 REACT:R-HSA-164516    Minus-strand DNA synthesis
 REACT:R-HSA-164525    Plus-strand DNA synthesis
 REACT:R-HSA-164843    2-LTR circle formation
 REACT:R-HSA-164938    Nef-mediates down modulation of cell surface receptors by recruiting them to clathrin adapters
 REACT:R-HSA-164939    Nef mediated downregulation of CD28 cell surface expression
 REACT:R-HSA-164940    Nef mediated downregulation of MHC class I complex cell surface expression
 REACT:R-HSA-164944    Nef and signal transduction
 REACT:R-HSA-164952    The role of Nef in HIV-1 replication and disease pathogenesis
 REACT:R-HSA-165054    Rev-mediated nuclear export of HIV RNA
 REACT:R-HSA-1650814    Collagen biosynthesis and modifying enzymes
 REACT:R-HSA-165158    Activation of AKT2
 REACT:R-HSA-165159    mTOR signalling
 REACT:R-HSA-165160    PDE3B signalling
 REACT:R-HSA-165181    Inhibition of TSC complex formation by PKB
 REACT:R-HSA-1655829    Regulation of cholesterol biosynthesis by SREBP (SREBF)
 REACT:R-HSA-166016    Toll Like Receptor 4 (TLR4) Cascade
 REACT:R-HSA-166020    Transfer of LPS from LBP carrier to CD14
 REACT:R-HSA-1660499    Synthesis of PIPs at the plasma membrane
 REACT:R-HSA-1660514    Synthesis of PIPs at the Golgi membrane
 REACT:R-HSA-1660516    Synthesis of PIPs at the early endosome membrane
 REACT:R-HSA-1660517    Synthesis of PIPs at the late endosome membrane
 REACT:R-HSA-166054    Activated TLR4 signalling
 REACT:R-HSA-166058    MyD88:Mal cascade initiated on plasma membrane
 REACT:R-HSA-1660661    Sphingolipid de novo biosynthesis
 REACT:R-HSA-1660662    Glycosphingolipid metabolism
 REACT:R-HSA-166166    MyD88-independent TLR3/TLR4 cascade
 REACT:R-HSA-166187    Mitochondrial Uncoupling Proteins
 REACT:R-HSA-166208    mTORC1-mediated signalling
 REACT:R-HSA-1663150    The activation of arylsulfatases
 REACT:R-HSA-166520    Signalling by NGF
 REACT:R-HSA-166658    Complement cascade
 REACT:R-HSA-166662    Lectin pathway of complement activation
 REACT:R-HSA-166663    Initial triggering of complement
 REACT:R-HSA-166665    Terminal pathway of complement
 REACT:R-HSA-166786    Creation of C4 and C2 activators
 REACT:R-HSA-167021    PLC-gamma1 signalling
 REACT:R-HSA-167044    Signalling to RAS
 REACT:R-HSA-167060    NGF processing
 REACT:R-HSA-167152    Formation of HIV elongation complex in the absence of HIV Tat
 REACT:R-HSA-167158    Formation of the HIV-1 Early Elongation Complex
 REACT:R-HSA-167160    RNA Pol II CTD phosphorylation and interaction with CE during HIV infection
 REACT:R-HSA-167161    HIV Transcription Initiation
 REACT:R-HSA-167162    RNA Polymerase II HIV Promoter Escape
 REACT:R-HSA-167169    HIV Transcription Elongation
 REACT:R-HSA-167172    Transcription of the HIV genome
 REACT:R-HSA-167200    Formation of HIV-1 elongation complex containing HIV-1 Tat
 REACT:R-HSA-167238    Pausing and recovery of Tat-mediated HIV elongation
 REACT:R-HSA-167242    Abortive elongation of HIV-1 transcript in the absence of Tat
 REACT:R-HSA-167243    Tat-mediated HIV elongation arrest and recovery
 REACT:R-HSA-167246    Tat-mediated elongation of the HIV-1 transcript
 REACT:R-HSA-167287    HIV elongation arrest and recovery
 REACT:R-HSA-167290    Pausing and recovery of HIV elongation
 REACT:R-HSA-167590    Nef Mediated CD4 Down-regulation
 REACT:R-HSA-167826    The fatty acid cycling model
 REACT:R-HSA-167827    The proton buffering model
 REACT:R-HSA-1679131    Trafficking and processing of endosomal TLR
 REACT:R-HSA-168138    Toll Like Receptor 9 (TLR9) Cascade
 REACT:R-HSA-168142    Toll Like Receptor 10 (TLR10) Cascade
 REACT:R-HSA-168164    Toll Like Receptor 3 (TLR3) Cascade
 REACT:R-HSA-168176    Toll Like Receptor 5 (TLR5) Cascade
 REACT:R-HSA-168179    Toll Like Receptor TLR1:TLR2 Cascade
 REACT:R-HSA-168181    Toll Like Receptor 7/8 (TLR7/8) Cascade
 REACT:R-HSA-168188    Toll Like Receptor TLR6:TLR2 Cascade
 REACT:R-HSA-168249    Innate Immune System
 REACT:R-HSA-168253    Host Interactions with Influenza Factors
 REACT:R-HSA-168254    Influenza Infection
 REACT:R-HSA-168255    Influenza Life Cycle
 REACT:R-HSA-168256    Immune System
 REACT:R-HSA-168268    Virus Assembly and Release
 REACT:R-HSA-168271    Transport of Ribonucleoproteins into the Host Nucleus
 REACT:R-HSA-168273    Influenza Viral RNA Transcription and Replication
 REACT:R-HSA-168274    Export of Viral Ribonucleoproteins from Nucleus
 REACT:R-HSA-168275    Entry of Influenza Virion into Host Cell via Endocytosis
 REACT:R-HSA-168276    NS1 Mediated Effects on Host Pathways
 REACT:R-HSA-168277    Influenza Virus Induced Apoptosis
 REACT:R-HSA-168315    Inhibition of Host mRNA Processing and RNA Silencing
 REACT:R-HSA-168316    Assembly of Viral Components at the Budding Site
 REACT:R-HSA-168325    Viral Messenger RNA Synthesis
 REACT:R-HSA-168330    Viral RNP Complexes in the Host Cell Nucleus
 REACT:R-HSA-168333    NEP/NS2 Interacts with the Cellular Export Machinery
 REACT:R-HSA-168638    NOD1/2 Signaling Pathway
 REACT:R-HSA-168643    "Nucleotide-binding domain  leucine rich repeat containing receptor (NLR) signaling pathways"
 REACT:R-HSA-168799    Neurotoxicity of clostridium toxins
 REACT:R-HSA-168898    Toll-Like Receptors Cascades
 REACT:R-HSA-168928    RIG-I/MDA5 mediated induction of IFN-alpha/beta pathways
 REACT:R-HSA-169131    Inhibition of PKR
 REACT:R-HSA-169893    Prolonged ERK activation events
 REACT:R-HSA-169911    Regulation of Apoptosis
 REACT:R-HSA-170145    Phosphorylation of proteins involved in the G2/M transition by Cyclin A:Cdc2 complexes
 REACT:R-HSA-170660    Adenylate cyclase activating pathway
 REACT:R-HSA-170670    Adenylate cyclase inhibitory pathway
 REACT:R-HSA-170822    Regulation of Glucokinase by Glucokinase Regulatory Protein
 REACT:R-HSA-170834    Signaling by TGF-beta Receptor Complex
 REACT:R-HSA-170968    Frs2-mediated activation
 REACT:R-HSA-170984    ARMS-mediated activation
 REACT:R-HSA-171007    p38MAPK events
 REACT:R-HSA-171052    LDL-mediated lipid transport
 REACT:R-HSA-171286    Synthesis and processing of ENV and VPU
 REACT:R-HSA-171306    Packaging Of Telomere Ends
 REACT:R-HSA-171319    Telomere Extension By Telomerase
 REACT:R-HSA-173107    Binding and entry of HIV virion
 REACT:R-HSA-173599    "Formation of the active cofactor  UDP-glucuronate"
 REACT:R-HSA-173623    Classical antibody-mediated complement activation
 REACT:R-HSA-173736    Alternative complement activation
 REACT:R-HSA-174048    APC/C:Cdc20 mediated degradation of Cyclin B
 REACT:R-HSA-174084    Autodegradation of Cdh1 by Cdh1:APC/C
 REACT:R-HSA-174113    SCF-beta-TrCP mediated degradation of Emi1
 REACT:R-HSA-174143    APC/C-mediated degradation of cell cycle proteins
 REACT:R-HSA-174154    APC/C:Cdc20 mediated degradation of Securin
 REACT:R-HSA-174178    APC/C:Cdh1 mediated degradation of Cdc20 and other APC/C:Cdh1 targeted proteins in late mitosis/early G1
 REACT:R-HSA-174184    Cdc20:Phospho-APC/C mediated degradation of Cyclin A
 REACT:R-HSA-174362    Transport and synthesis of PAPS
 REACT:R-HSA-174403    Glutathione synthesis and recycling
 REACT:R-HSA-174411    Polymerase switching on the C-strand of the telomere
 REACT:R-HSA-174414    Processive synthesis on the C-strand of the telomere
 REACT:R-HSA-174417    Telomere C-strand (Lagging Strand) Synthesis
 REACT:R-HSA-174430    Telomere C-strand synthesis initiation
 REACT:R-HSA-174437    Removal of the Flap Intermediate from the C-strand
 REACT:R-HSA-174490    Membrane binding and targetting of GAG proteins
 REACT:R-HSA-174495    "Synthesis And Processing Of GAG  GAGPOL Polyproteins"
 REACT:R-HSA-174577    Activation of C3 and C5
 REACT:R-HSA-174800    Chylomicron-mediated lipid transport
 REACT:R-HSA-174824    Lipoprotein metabolism
 REACT:R-HSA-175474    Assembly Of The HIV Virion
 REACT:R-HSA-175567    Integration of viral DNA into host genomic DNA
 REACT:R-HSA-176033    Interactions of Vpr with host cellular proteins
 REACT:R-HSA-176034    Interactions of Tat with host cellular proteins
 REACT:R-HSA-176187    Activation of ATR in response to replication stress
 REACT:R-HSA-176407    Conversion from APC/C:Cdc20 to APC/C:Cdh1 in late anaphase
 REACT:R-HSA-176408    Regulation of APC/C activators between G1/S and early anaphase
 REACT:R-HSA-176409    APC/C:Cdc20 mediated degradation of mitotic proteins
 REACT:R-HSA-176412    Phosphorylation of the APC/C
 REACT:R-HSA-176417    Phosphorylation of Emi1
 REACT:R-HSA-176814    Activation of APC/C and APC/C:Cdc20 mediated degradation of mitotic proteins
 REACT:R-HSA-176974    Unwinding of DNA
 REACT:R-HSA-177128    Conjugation of salicylate with glycine
 REACT:R-HSA-177135    Conjugation of benzoate with glycine
 REACT:R-HSA-177162    Conjugation of phenylacetate with glutamine
 REACT:R-HSA-177243    Interactions of Rev with host cellular proteins
 REACT:R-HSA-177504    Retrograde neurotrophin signalling
 REACT:R-HSA-177539    Autointegration results in viral DNA circles
 REACT:R-HSA-177929    Signaling by EGFR
 REACT:R-HSA-1793185    Chondroitin sulfate/dermatan sulfate metabolism
 REACT:R-HSA-179409    APC-Cdc20 mediated degradation of Nek2A
 REACT:R-HSA-179419    APC:Cdc20 mediated degradation of cell cycle proteins prior to satisfation of the cell cycle checkpoint
 REACT:R-HSA-179812    GRB2 events in EGFR signaling
 REACT:R-HSA-1799339    SRP-dependent cotranslational protein targeting to membrane
 REACT:R-HSA-180024    DARPP-32 events
 REACT:R-HSA-180292    GAB1 signalosome
 REACT:R-HSA-180336    SHC1 events in EGFR signaling
 REACT:R-HSA-180534    Vpu mediated degradation of CD4
 REACT:R-HSA-180585    Vif-mediated degradation of APOBEC3G
 REACT:R-HSA-180689    APOBEC3G mediated resistance to HIV-1 infection
 REACT:R-HSA-180746    Nuclear import of Rev protein
 REACT:R-HSA-180786    Extension of Telomeres
 REACT:R-HSA-180897    Vpr-mediated induction of apoptosis by mitochondrial outer membrane permeabilization
 REACT:R-HSA-180910    Vpr-mediated nuclear import of PICs
 REACT:R-HSA-1810476    RIP-mediated NFkB activation via ZBP1
 REACT:R-HSA-181429    Serotonin Neurotransmitter Release Cycle
 REACT:R-HSA-181430    Norepinephrine Neurotransmitter Release Cycle
 REACT:R-HSA-181431    Acetylcholine Binding And Downstream Events
