39.723 number of GO processes
16.6302 GO:0007601	 visual perception
2.43942 GO:2000104	 negative regulation of DNA-templated DNA replication
2.43942 GO:2000050	 regulation of non-canonical Wnt signaling pathway
2.43942 GO:2000017	 positive regulation of determination of dorsal identity
2.43942 GO:1990858	 cellular response to lectin
2.43942 GO:1990822	 basic amino acid transmembrane transport
2.43942 GO:1990705	 cholangiocyte proliferation
2.43942 GO:1990680	 response to melanocyte-stimulating hormone
2.43942 GO:1990603	 dark adaptation
2.43942 GO:1990478	 response to ultrasound
2.43942 GO:1990426	 mitotic recombination-dependent replication fork processing
2.43942 GO:1990268	 response to gold nanoparticle
2.43942 GO:1990009	 retinal cell apoptotic process
2.43942 GO:1905931	 negative regulation of vascular associated smooth muscle cell differentiation involved in phenotypic switching
2.43942 GO:1905601	 negative regulation of receptor-mediated endocytosis involved in cholesterol transport
2.43942 GO:1905562	 regulation of vascular endothelial cell proliferation
2.43942 GO:1905386	 positive regulation of protein localization to presynapse
2.43942 GO:1905289	 regulation of CAMKK-AMPK signaling cascade
2.43942 GO:1905221	 positive regulation of platelet formation
2.43942 GO:1905206	 positive regulation of hydrogen peroxide-induced cell death
2.43942 GO:1905165	 regulation of lysosomal protein catabolic process
2.43942 GO:1905123	 regulation of glucosylceramidase activity
2.43942 GO:1905065	 positive regulation of vascular associated smooth muscle cell differentiation
2.43942 GO:1905006	 negative regulation of epithelial to mesenchymal transition involved in endocardial cushion formation
2.43942 GO:1905005	 regulation of epithelial to mesenchymal transition involved in endocardial cushion formation
2.43942 GO:1904999	 positive regulation of leukocyte adhesion to arterial endothelial cell
2.43942 GO:1904978	 regulation of endosome organization
2.43942 GO:1904976	 cellular response to bleomycin
2.43942 GO:1904891	 positive regulation of excitatory synapse assembly
2.43942 GO:1904884	 positive regulation of telomerase catalytic core complex assembly
2.43942 GO:1904881	 cellular response to hydrogen sulfide
2.43942 GO:1904879	 positive regulation of calcium ion transmembrane transport via high voltage-gated calcium channel
2.43942 GO:1904864	 negative regulation of beta-catenin-TCF complex assembly
2.43942 GO:1904831	 positive regulation of aortic smooth muscle cell differentiation
2.43942 GO:1904782	 negative regulation of NMDA glutamate receptor activity
2.43942 GO:1904613	 cellular response to 2,3,7,8-tetrachlorodibenzodioxine
2.43942 GO:1904464	 regulation of matrix metallopeptidase secretion
2.43942 GO:1904450	 positive regulation of aspartate secretion
2.43942 GO:1904437	 positive regulation of transferrin receptor binding
2.43942 GO:1904434	 positive regulation of ferrous iron binding
2.43942 GO:1904427	 positive regulation of calcium ion transmembrane transport
2.43942 GO:1904398	 positive regulation of neuromuscular junction development
2.43942 GO:1904237	 positive regulation of substrate-dependent cell migration, cell attachment to substrate
2.43942 GO:1904234	 positive regulation of aconitate hydratase activity
2.43942 GO:1904200	 iodide transmembrane transport
2.43942 GO:1904139	 regulation of microglial cell migration
2.43942 GO:1904026	 regulation of collagen fibril organization
2.43942 GO:1904024	 negative regulation of glucose catabolic process to lactate via pyruvate
2.43942 GO:1903999	 negative regulation of eating behavior
2.43942 GO:1903923	 positive regulation of protein processing in phagocytic vesicle
2.43942 GO:1903597	 negative regulation of gap junction assembly
2.43942 GO:1903421	 regulation of synaptic vesicle recycling
2.43942 GO:1903393	 positive regulation of adherens junction organization
2.43942 GO:1903382	 negative regulation of endoplasmic reticulum stress-induced neuron intrinsic apoptotic signaling pathway
2.43942 GO:1903281	 positive regulation of calcium:sodium antiporter activity
2.43942 GO:1903244	 positive regulation of cardiac muscle hypertrophy in response to stress
2.43942 GO:1903233	 regulation of calcium ion-dependent exocytosis of neurotransmitter
2.43942 GO:1903226	 positive regulation of endodermal cell differentiation
2.43942 GO:1903225	 negative regulation of endodermal cell differentiation
2.43942 GO:1903210	 podocyte apoptotic process
2.43942 GO:1903056	 regulation of melanosome organization
2.43942 GO:1903012	 positive regulation of bone development
2.43942 GO:1902897	 regulation of postsynaptic density protein 95 clustering
2.43942 GO:1902884	 positive regulation of response to oxidative stress
2.43942 GO:1902823	 negative regulation of late endosome to lysosome transport
2.43942 GO:1902746	 regulation of lens fiber cell differentiation
2.43942 GO:1902656	 calcium ion import into cytosol
2.43942 GO:1902631	 negative regulation of membrane hyperpolarization
2.43942 GO:1902622	 regulation of neutrophil migration
2.43942 GO:1902618	 cellular response to fluoride
2.43942 GO:1902530	 positive regulation of protein linear polyubiquitination
2.43942 GO:1902257	 negative regulation of apoptotic process involved in outflow tract morphogenesis
2.43942 GO:1901980	 positive regulation of inward rectifier potassium channel activity
2.43942 GO:1901873	 regulation of post-translational protein modification
2.43942 GO:1901858	 regulation of mitochondrial DNA metabolic process
2.43942 GO:1901846	 positive regulation of cell communication by electrical coupling involved in cardiac conduction
2.43942 GO:1901492	 positive regulation of lymphangiogenesis
2.43942 GO:1901390	 positive regulation of transforming growth factor beta activation
2.43942 GO:1901255	 nucleotide-excision repair involved in interstrand cross-link repair
2.43942 GO:1901248	 positive regulation of lung ciliated cell differentiation
2.43942 GO:1901076	 positive regulation of engulfment of apoptotic cell
2.43942 GO:1901019	 regulation of calcium ion transmembrane transporter activity
2.43942 GO:1900218	 negative regulation of apoptotic process involved in metanephric nephron tubule development
2.43942 GO:1900215	 negative regulation of apoptotic process involved in metanephric collecting duct development
2.43942 GO:1900075	 positive regulation of neuromuscular synaptic transmission
2.43942 GO:0198738	 cell-cell signaling by wnt
2.43942 GO:0140588	 chromatin looping
2.43942 GO:0140469	 GCN2-mediated signaling
2.43942 GO:0140249	 protein catabolic process at postsynapse
2.43942 GO:0120223	 larynx morphogenesis
2.43942 GO:0120058	 positive regulation of small intestinal transit
2.43942 GO:0099068	 postsynapse assembly
2.43942 GO:0099040	 ceramide translocation
2.43942 GO:0098963	 dendritic transport of messenger ribonucleoprotein complex
2.43942 GO:0098930	 axonal transport
2.43942 GO:0098908	 regulation of neuronal action potential
2.43942 GO:0098739	 import across plasma membrane
2.43942 GO:0098659	 inorganic cation import across plasma membrane
2.43942 GO:0097744	 renal urate salt excretion
2.43942 GO:0097695	 establishment of protein-containing complex localization to telomere
2.43942 GO:0097694	 establishment of RNA localization to telomere
2.43942 GO:0097536	 thymus epithelium morphogenesis
2.43942 GO:0097535	 lymphoid lineage cell migration into thymus
2.43942 GO:0097473	 retinal rod cell apoptotic process
2.43942 GO:0097278	 complement-dependent cytotoxicity
2.43942 GO:0097205	 renal filtration
2.43942 GO:0097069	 cellular response to thyroxine stimulus
2.43942 GO:0097068	 response to thyroxine
2.43942 GO:0097018	 renal albumin absorption
2.43942 GO:0090737	 telomere maintenance via telomere trimming
2.43942 GO:0090657	 telomeric loop disassembly
2.43942 GO:0090646	 mitochondrial tRNA processing
2.43942 GO:0090427	 activation of meiosis
2.43942 GO:0090265	 positive regulation of immune complex clearance by monocytes and macrophages
2.43942 GO:0090251	 protein localization involved in establishment of planar polarity
2.43942 GO:0090218	 positive regulation of lipid kinase activity
2.43942 GO:0090193	 positive regulation of glomerulus development
2.43942 GO:0090191	 negative regulation of branching involved in ureteric bud morphogenesis
2.43942 GO:0090031	 positive regulation of steroid hormone biosynthetic process
2.43942 GO:0086098	 angiotensin-activated signaling pathway involved in heart process
2.43942 GO:0086097	 phospholipase C-activating angiotensin-activated signaling pathway
2.43942 GO:0086092	 regulation of the force of heart contraction by cardiac conduction
2.43942 GO:0086054	 bundle of His cell to Purkinje myocyte communication by electrical coupling
2.43942 GO:0086043	 bundle of His cell action potential
2.43942 GO:0086029	 Purkinje myocyte to ventricular cardiac muscle cell signaling
2.43942 GO:0086019	 cell-cell signaling involved in cardiac conduction
2.43942 GO:0086001	 cardiac muscle cell action potential
2.43942 GO:0080144	 cellular amino acid homeostasis
2.43942 GO:0072660	 maintenance of protein location in plasma membrane
2.43942 GO:0072554	 blood vessel lumenization
2.43942 GO:0072423	 response to DNA damage checkpoint signaling
2.43942 GO:0072377	 blood coagulation, common pathway
2.43942 GO:0072337	 modified amino acid transport
2.43942 GO:0072305	 negative regulation of mesenchymal cell apoptotic process involved in metanephric nephron morphogenesis
2.43942 GO:0072233	 metanephric thick ascending limb development
2.43942 GO:0072198	 mesenchymal cell proliferation involved in ureter development
2.43942 GO:0072182	 regulation of nephron tubule epithelial cell differentiation
2.43942 GO:0072179	 nephric duct formation
2.43942 GO:0072164	 mesonephric tubule development
2.43942 GO:0072138	 mesenchymal cell proliferation involved in ureteric bud development
2.43942 GO:0072073	 kidney epithelium development
2.43942 GO:0072070	 loop of Henle development
2.43942 GO:0072033	 renal vesicle formation
2.43942 GO:0071934	 thiamine transmembrane transport
2.43942 GO:0071848	 positive regulation of ERK1 and ERK2 cascade via TNFSF11-mediated signaling
2.43942 GO:0071812	 positive regulation of fever generation by positive regulation of prostaglandin secretion
2.43942 GO:0071550	 death-inducing signaling complex assembly
2.43942 GO:0071503	 response to heparin
2.43942 GO:0071423	 malate transmembrane transport
2.43942 GO:0071418	 cellular response to amine stimulus
2.43942 GO:0071288	 cellular response to mercury ion
2.43942 GO:0071241	 cellular response to inorganic substance
2.43942 GO:0071163	 DNA replication preinitiation complex assembly
2.43942 GO:0070988	 demethylation
2.43942 GO:0070977	 bone maturation
2.43942 GO:0070781	 response to biotin
2.43942 GO:0070716	 mismatch repair involved in maintenance of fidelity involved in DNA-dependent DNA replication
2.43942 GO:0070672	 response to interleukin-15
2.43942 GO:0070541	 response to platinum ion
2.43942 GO:0070489	 T cell aggregation
2.43942 GO:0070305	 response to cGMP
2.43942 GO:0070221	 sulfide oxidation, using sulfide:quinone oxidoreductase
2.43942 GO:0070173	 regulation of enamel mineralization
2.43942 GO:0070171	 negative regulation of tooth mineralization
2.43942 GO:0070105	 positive regulation of interleukin-6-mediated signaling pathway
2.43942 GO:0065001	 specification of axis polarity
2.43942 GO:0062177	 radial spoke assembly
2.43942 GO:0062094	 stomach development
2.43942 GO:0061771	 response to caloric restriction
2.43942 GO:0061646	 positive regulation of glutamate neurotransmitter secretion in response to membrane depolarization
2.43942 GO:0061548	 ganglion development
2.43942 GO:0061511	 centriole elongation
2.43942 GO:0061402	 positive regulation of transcription from RNA polymerase II promoter in response to acidic pH
2.43942 GO:0061355	 Wnt protein secretion
2.43942 GO:0061290	 canonical Wnt signaling pathway involved in metanephric kidney development
2.43942 GO:0061162	 establishment of monopolar cell polarity
2.43942 GO:0061159	 establishment of bipolar cell polarity involved in cell morphogenesis
2.43942 GO:0061047	 positive regulation of branching involved in lung morphogenesis
2.43942 GO:0061034	 olfactory bulb mitral cell layer development
2.43942 GO:0061017	 hepatoblast differentiation
2.43942 GO:0061010	 gallbladder development
2.43942 GO:0060915	 mesenchymal cell differentiation involved in lung development
2.43942 GO:0060900	 embryonic camera-type eye formation
2.43942 GO:0060689	 cell differentiation involved in salivary gland development
2.43942 GO:0060688	 regulation of morphogenesis of a branching structure
2.43942 GO:0060667	 branch elongation involved in salivary gland morphogenesis
2.43942 GO:0060632	 regulation of microtubule-based movement
2.43942 GO:0060621	 negative regulation of cholesterol import
2.43942 GO:0060615	 mammary gland bud formation
2.43942 GO:0060599	 lateral sprouting involved in mammary gland duct morphogenesis
2.43942 GO:0060595	 fibroblast growth factor receptor signaling pathway involved in mammary gland specification
2.43942 GO:0060557	 positive regulation of vitamin D biosynthetic process
2.43942 GO:0060529	 squamous basal epithelial stem cell differentiation involved in prostate gland acinus development
2.43942 GO:0060471	 cortical granule exocytosis
2.43942 GO:0060466	 activation of meiosis involved in egg activation
2.43942 GO:0060447	 bud outgrowth involved in lung branching
2.43942 GO:0060434	 bronchus morphogenesis
2.43942 GO:0060420	 regulation of heart growth
2.43942 GO:0060313	 negative regulation of blood vessel remodeling
2.43942 GO:0060312	 regulation of blood vessel remodeling
2.43942 GO:0060302	 negative regulation of cytokine activity
2.43942 GO:0060260	 regulation of transcription initiation by RNA polymerase II
2.43942 GO:0060242	 contact inhibition
2.43942 GO:0060197	 cloacal septation
2.43942 GO:0060128	 corticotropin hormone secreting cell differentiation
2.43942 GO:0060127	 prolactin secreting cell differentiation
2.43942 GO:0060123	 regulation of growth hormone secretion
2.43942 GO:0060058	 positive regulation of apoptotic process involved in mammary gland involution
2.43942 GO:0060057	 apoptotic process involved in mammary gland involution
2.43942 GO:0060029	 convergent extension involved in organogenesis
2.43942 GO:0060024	 rhythmic synaptic transmission
2.43942 GO:0060003	 copper ion export
2.43942 GO:0055096	 low-density lipoprotein particle mediated signaling
2.43942 GO:0055090	 acylglycerol homeostasis
2.43942 GO:0055081	 monoatomic anion homeostasis
2.43942 GO:0055026	 negative regulation of cardiac muscle tissue development
2.43942 GO:0055025	 positive regulation of cardiac muscle tissue development
2.43942 GO:0052314	 phytoalexin metabolic process
2.43942 GO:0051958	 methotrexate transport
2.43942 GO:0051946	 regulation of glutamate uptake involved in transmission of nerve impulse
2.43942 GO:0051935	 glutamate reuptake
2.43942 GO:0051885	 positive regulation of timing of anagen
2.43942 GO:0051884	 regulation of timing of anagen
2.43942 GO:0051877	 pigment granule aggregation in cell center
2.43942 GO:0051797	 regulation of hair follicle development
2.43942 GO:0051795	 positive regulation of timing of catagen
2.43942 GO:0051659	 maintenance of mitochondrion location
2.43942 GO:0051621	 regulation of norepinephrine uptake
2.43942 GO:0051620	 norepinephrine uptake
2.43942 GO:0051594	 detection of glucose
2.43942 GO:0051563	 smooth endoplasmic reticulum calcium ion homeostasis
2.43942 GO:0051446	 positive regulation of meiotic cell cycle
2.43942 GO:0051365	 cellular response to potassium ion starvation
2.43942 GO:0051228	 mitotic spindle disassembly
2.43942 GO:0051173	 positive regulation of nitrogen compound metabolic process
2.43942 GO:0051124	 synaptic assembly at neuromuscular junction
2.43942 GO:0051048	 negative regulation of secretion
2.43942 GO:0050976	 detection of mechanical stimulus involved in sensory perception of touch
2.43942 GO:0050942	 positive regulation of pigment cell differentiation
2.43942 GO:0050925	 negative regulation of negative chemotaxis
2.43942 GO:0050893	 sensory processing
2.43942 GO:0050866	 negative regulation of cell activation
2.43942 GO:0050820	 positive regulation of coagulation
2.43942 GO:0050801	 monoatomic ion homeostasis
2.43942 GO:0048850	 hypophysis morphogenesis
2.43942 GO:0048769	 sarcomerogenesis
2.43942 GO:0048677	 axon extension involved in regeneration
2.43942 GO:0048638	 regulation of developmental growth
2.43942 GO:0048625	 myoblast fate commitment
2.43942 GO:0048563	 post-embryonic animal organ morphogenesis
2.43942 GO:0048541	 Peyer's patch development
2.43942 GO:0048332	 mesoderm morphogenesis
2.43942 GO:0048320	 axial mesoderm formation
2.43942 GO:0048259	 regulation of receptor-mediated endocytosis
2.43942 GO:0048145	 regulation of fibroblast proliferation
2.43942 GO:0048070	 regulation of developmental pigmentation
2.43942 GO:0047484	 regulation of response to osmotic stress
2.43942 GO:0046968	 peptide antigen transport
2.43942 GO:0046967	 cytosol to endoplasmic reticulum transport
2.43942 GO:0046947	 hydroxylysine biosynthetic process
2.43942 GO:0046939	 nucleotide phosphorylation
2.43942 GO:0046618	 xenobiotic export from cell
2.43942 GO:0046544	 development of secondary male sexual characteristics
2.43942 GO:0046543	 development of secondary female sexual characteristics
2.43942 GO:0046511	 sphinganine biosynthetic process
2.43942 GO:0046501	 protoporphyrinogen IX metabolic process
2.43942 GO:0046390	 ribose phosphate biosynthetic process
2.43942 GO:0046373	 L-arabinose metabolic process
2.43942 GO:0046327	 glycerol biosynthetic process from pyruvate
2.43942 GO:0046209	 nitric oxide metabolic process
2.43942 GO:0046168	 glycerol-3-phosphate catabolic process
2.43942 GO:0046166	 glyceraldehyde-3-phosphate biosynthetic process
2.43942 GO:0046013	 regulation of T cell homeostatic proliferation
2.43942 GO:0045989	 positive regulation of striated muscle contraction
2.43942 GO:0045923	 positive regulation of fatty acid metabolic process
2.43942 GO:0045916	 negative regulation of complement activation
2.43942 GO:0045870	 positive regulation of single stranded viral RNA replication via double stranded DNA intermediate
2.43942 GO:0045796	 negative regulation of intestinal cholesterol absorption
2.43942 GO:0045655	 regulation of monocyte differentiation
2.43942 GO:0045622	 regulation of T-helper cell differentiation
2.43942 GO:0045605	 negative regulation of epidermal cell differentiation
2.43942 GO:0045337	 farnesyl diphosphate biosynthetic process
2.43942 GO:0045136	 development of secondary sexual characteristics
2.43942 GO:0044861	 protein transport into plasma membrane raft
2.43942 GO:0044751	 cellular response to human chorionic gonadotropin stimulus
2.43942 GO:0044727	 DNA demethylation of male pronucleus
2.43942 GO:0044721	 protein import into peroxisome matrix, substrate release
2.43942 GO:0044380	 protein localization to cytoskeleton
2.43942 GO:0044029	 hypomethylation of CpG island
2.43942 GO:0043369	 CD4-positive or CD8-positive, alpha-beta T cell lineage commitment
2.43942 GO:0043314	 negative regulation of neutrophil degranulation
2.43942 GO:0043039	 tRNA aminoacylation
2.43942 GO:0042704	 uterine wall breakdown
2.43942 GO:0042495	 detection of triacyl bacterial lipopeptide
2.43942 GO:0042489	 negative regulation of odontogenesis of dentin-containing tooth
2.43942 GO:0042450	 arginine biosynthetic process via ornithine
2.43942 GO:0042340	 keratan sulfate catabolic process
2.43942 GO:0042309	 homoiothermy
2.43942 GO:0042044	 fluid transport
2.43942 GO:0040040	 thermosensory behavior
2.43942 GO:0039003	 pronephric field specification
2.43942 GO:0038194	 thyroid-stimulating hormone signaling pathway
2.43942 GO:0038112	 interleukin-8-mediated signaling pathway
2.43942 GO:0038111	 interleukin-7-mediated signaling pathway
2.43942 GO:0036492	 eiF2alpha phosphorylation in response to endoplasmic reticulum stress
2.43942 GO:0036484	 trunk neural crest cell migration
2.43942 GO:0036378	 calcitriol biosynthetic process from calciol
2.43942 GO:0036367	 light adaption
2.43942 GO:0036321	 ghrelin secretion
2.43942 GO:0036309	 protein localization to M-band
2.43942 GO:0036298	 recombinational interstrand cross-link repair
2.43942 GO:0036228	 protein localization to nuclear inner membrane
2.43942 GO:0036060	 slit diaphragm assembly
2.43942 GO:0036022	 limb joint morphogenesis
2.43942 GO:0035993	 deltoid tuberosity development
2.43942 GO:0035984	 cellular response to trichostatin A
2.43942 GO:0035898	 parathyroid hormone secretion
2.43942 GO:0035854	 eosinophil fate commitment
2.43942 GO:0035802	 adrenal cortex formation
2.43942 GO:0035791	 platelet-derived growth factor receptor-beta signaling pathway
2.43942 GO:0035747	 natural killer cell chemotaxis
2.43942 GO:0035709	 memory T cell activation
2.43942 GO:0035635	 entry of bacterium into host cell
2.43942 GO:0035623	 renal glucose absorption
2.43942 GO:0035622	 intrahepatic bile duct development
2.43942 GO:0035565	 regulation of pronephros size
2.43942 GO:0035564	 regulation of kidney size
2.43942 GO:0035545	 determination of left/right asymmetry in nervous system
2.43942 GO:0035441	 cell migration involved in vasculogenesis
2.43942 GO:0035295	 tube development
2.43942 GO:0035051	 cardiocyte differentiation
2.43942 GO:0034516	 response to vitamin B6
2.43942 GO:0034505	 tooth mineralization
2.43942 GO:0034418	 urate biosynthetic process
2.43942 GO:0034395	 regulation of transcription from RNA polymerase II promoter in response to iron
2.43942 GO:0034370	 triglyceride-rich lipoprotein particle remodeling
2.43942 GO:0034158	 toll-like receptor 8 signaling pathway
2.43942 GO:0034124	 regulation of MyD88-dependent toll-like receptor signaling pathway
2.43942 GO:0033861	 negative regulation of NAD(P)H oxidase activity
2.43942 GO:0033384	 geranyl diphosphate biosynthetic process
2.43942 GO:0033144	 negative regulation of intracellular steroid hormone receptor signaling pathway
2.43942 GO:0033024	 mast cell apoptotic process
2.43942 GO:0032972	 regulation of muscle filament sliding speed
2.43942 GO:0032971	 regulation of muscle filament sliding
2.43942 GO:0032912	 negative regulation of transforming growth factor beta2 production
2.43942 GO:0032796	 uropod organization
2.43942 GO:0032773	 positive regulation of tyrosinase activity
2.43942 GO:0032770	 positive regulation of monooxygenase activity
2.43942 GO:0032745	 positive regulation of interleukin-21 production
2.43942 GO:0032663	 regulation of interleukin-2 production
2.43942 GO:0032645	 regulation of granulocyte macrophage colony-stimulating factor production
2.43942 GO:0032472	 Golgi calcium ion transport
2.43942 GO:0032468	 Golgi calcium ion homeostasis
2.43942 GO:0032416	 negative regulation of sodium:proton antiporter activity
2.43942 GO:0032350	 regulation of hormone metabolic process
2.43942 GO:0032341	 aldosterone metabolic process
2.43942 GO:0032290	 peripheral nervous system myelin formation
2.43942 GO:0032231	 regulation of actin filament bundle assembly
2.43942 GO:0032218	 riboflavin transport
2.43942 GO:0031943	 regulation of glucocorticoid metabolic process
2.43942 GO:0031448	 positive regulation of fast-twitch skeletal muscle fiber contraction
2.43942 GO:0031345	 negative regulation of cell projection organization
2.43942 GO:0031339	 negative regulation of vesicle fusion
2.43942 GO:0031283	 negative regulation of guanylate cyclase activity
2.43942 GO:0031134	 sister chromatid biorientation
2.43942 GO:0031060	 regulation of histone methylation
2.43942 GO:0030997	 regulation of centriole-centriole cohesion
2.43942 GO:0030974	 thiamine pyrophosphate transmembrane transport
2.43942 GO:0030917	 midbrain-hindbrain boundary development
2.43942 GO:0030221	 basophil differentiation
2.43942 GO:0030202	 heparin metabolic process
2.43942 GO:0030185	 nitric oxide transport
2.43942 GO:0030003	 cellular monoatomic cation homeostasis
2.43942 GO:0023021	 termination of signal transduction
2.43942 GO:0021997	 neural plate axis specification
2.43942 GO:0021965	 spinal cord ventral commissure morphogenesis
2.43942 GO:0021873	 forebrain neuroblast division
2.43942 GO:0021852	 pyramidal neuron migration to cerebral cortex
2.43942 GO:0021847	 ventricular zone neuroblast division
2.43942 GO:0021776	 smoothened signaling pathway involved in spinal cord motor neuron cell fate specification
2.43942 GO:0021761	 limbic system development
2.43942 GO:0021759	 globus pallidus development
2.43942 GO:0021697	 cerebellar cortex formation
2.43942 GO:0021693	 cerebellar Purkinje cell layer structural organization
2.43942 GO:0021692	 cerebellar Purkinje cell layer morphogenesis
2.43942 GO:0021691	 cerebellar Purkinje cell layer maturation
2.43942 GO:0021633	 optic nerve structural organization
2.43942 GO:0021626	 central nervous system maturation
2.43942 GO:0021623	 oculomotor nerve formation
2.43942 GO:0021562	 vestibulocochlear nerve development
2.43942 GO:0021526	 medial motor column neuron differentiation
2.43942 GO:0019695	 choline metabolic process
2.43942 GO:0019676	 ammonia assimilation cycle
2.43942 GO:0019551	 glutamate catabolic process to 2-oxoglutarate
2.43942 GO:0019550	 glutamate catabolic process to aspartate
2.43942 GO:0019543	 propionate catabolic process
2.43942 GO:0019408	 dolichol biosynthetic process
2.43942 GO:0019377	 glycolipid catabolic process
2.43942 GO:0019344	 cysteine biosynthetic process
2.43942 GO:0019230	 proprioception
2.43942 GO:0019074	 viral RNA genome packaging
2.43942 GO:0018963	 phthalate metabolic process
2.43942 GO:0018283	 iron incorporation into metallo-sulfur cluster
2.43942 GO:0017126	 nucleologenesis
2.43942 GO:0016561	 protein import into peroxisome matrix, translocation
2.43942 GO:0016539	 intein-mediated protein splicing
2.43942 GO:0016476	 regulation of embryonic cell shape
2.43942 GO:0016445	 somatic diversification of immunoglobulins
2.43942 GO:0016340	 calcium-dependent cell-matrix adhesion
2.43942 GO:0016243	 regulation of autophagosome size
2.43942 GO:0016062	 adaptation of rhodopsin mediated signaling
2.43942 GO:0015966	 diadenosine tetraphosphate biosynthetic process
2.43942 GO:0015888	 thiamine transport
2.43942 GO:0015874	 norepinephrine transport
2.43942 GO:0015729	 oxaloacetate transport
2.43942 GO:0015709	 thiosulfate transport
2.43942 GO:0015697	 quaternary ammonium group transport
2.43942 GO:0014916	 regulation of lung blood pressure
2.43942 GO:0014889	 muscle atrophy
2.43942 GO:0014858	 positive regulation of skeletal muscle cell proliferation
2.43942 GO:0014806	 smooth muscle hyperplasia
2.43942 GO:0014733	 regulation of skeletal muscle adaptation
2.43942 GO:0014043	 negative regulation of neuron maturation
2.43942 GO:0014041	 regulation of neuron maturation
2.43942 GO:0014040	 positive regulation of Schwann cell differentiation
2.43942 GO:0014014	 negative regulation of gliogenesis
2.43942 GO:0014013	 regulation of gliogenesis
2.43942 GO:0010999	 regulation of eIF2 alpha phosphorylation by heme
2.43942 GO:0010949	 negative regulation of intestinal phytosterol absorption
2.43942 GO:0010902	 positive regulation of very-low-density lipoprotein particle remodeling
2.43942 GO:0010899	 regulation of phosphatidylcholine catabolic process
2.43942 GO:0010868	 negative regulation of triglyceride biosynthetic process
2.43942 GO:0010814	 substance P catabolic process
2.43942 GO:0010727	 negative regulation of hydrogen peroxide metabolic process
2.43942 GO:0010725	 regulation of primitive erythrocyte differentiation
2.43942 GO:0010721	 negative regulation of cell development
2.43942 GO:0010665	 regulation of cardiac muscle cell apoptotic process
2.43942 GO:0010559	 regulation of glycoprotein biosynthetic process
2.43942 GO:0010453	 regulation of cell fate commitment
2.43942 GO:0010256	 endomembrane system organization
2.43942 GO:0009450	 gamma-aminobutyric acid catabolic process
2.43942 GO:0009448	 gamma-aminobutyric acid metabolic process
2.43942 GO:0009081	 branched-chain amino acid metabolic process
2.43942 GO:0008615	 pyridoxine biosynthetic process
2.43942 GO:0008612	 peptidyl-lysine modification to peptidyl-hypusine
2.43942 GO:0008050	 female courtship behavior
2.43942 GO:0007622	 rhythmic behavior
2.43942 GO:0007497	 posterior midgut development
2.43942 GO:0007493	 endodermal cell fate determination
2.43942 GO:0006925	 inflammatory cell apoptotic process
2.43942 GO:0006808	 regulation of nitrogen utilization
2.43942 GO:0006784	 heme A biosynthetic process
2.43942 GO:0006738	 nicotinamide riboside catabolic process
2.43942 GO:0006726	 eye pigment biosynthetic process
2.43942 GO:0006720	 isoprenoid metabolic process
2.43942 GO:0006705	 mineralocorticoid biosynthetic process
2.43942 GO:0006660	 phosphatidylserine catabolic process
2.43942 GO:0006601	 creatine biosynthetic process
2.43942 GO:0006581	 acetylcholine catabolic process
2.43942 GO:0006568	 tryptophan metabolic process
2.43942 GO:0006505	 GPI anchor metabolic process
2.43942 GO:0006438	 valyl-tRNA aminoacylation
2.43942 GO:0006434	 seryl-tRNA aminoacylation
2.43942 GO:0006431	 methionyl-tRNA aminoacylation
2.43942 GO:0006429	 leucyl-tRNA aminoacylation
2.43942 GO:0006428	 isoleucyl-tRNA aminoacylation
2.43942 GO:0006427	 histidyl-tRNA aminoacylation
2.43942 GO:0006425	 glutaminyl-tRNA aminoacylation
2.43942 GO:0006423	 cysteinyl-tRNA aminoacylation
2.43942 GO:0006422	 aspartyl-tRNA aminoacylation
2.43942 GO:0006421	 asparaginyl-tRNA aminoacylation
2.43942 GO:0006407	 rRNA export from nucleus
2.43942 GO:0006403	 RNA localization
2.43942 GO:0006212	 uracil catabolic process
2.43942 GO:0006203	 dGTP catabolic process
2.43942 GO:0006149	 deoxyinosine catabolic process
2.43942 GO:0006148	 inosine catabolic process
2.43942 GO:0006127	 glycerophosphate shuttle
2.43942 GO:0006097	 glyoxylate cycle
2.43942 GO:0005986	 sucrose biosynthetic process
2.43942 GO:0003404	 optic vesicle morphogenesis
2.43942 GO:0003340	 negative regulation of mesenchymal to epithelial transition involved in metanephros morphogenesis
2.43942 GO:0003290	 atrial septum secundum morphogenesis
2.43942 GO:0003275	 apoptotic process involved in outflow tract morphogenesis
2.43942 GO:0003252	 negative regulation of cell proliferation involved in heart valve morphogenesis
2.43942 GO:0003193	 pulmonary valve formation
2.43942 GO:0003167	 atrioventricular bundle cell differentiation
2.43942 GO:0003160	 endocardium morphogenesis
2.43942 GO:0003156	 regulation of animal organ formation
2.43942 GO:0003138	 primary heart field specification
2.43942 GO:0003130	 BMP signaling pathway involved in heart induction
2.43942 GO:0003062	 regulation of heart rate by chemical signal
2.43942 GO:0002902	 regulation of B cell apoptotic process
2.43942 GO:0002859	 negative regulation of natural killer cell mediated cytotoxicity directed against tumor cell target
2.43942 GO:0002842	 positive regulation of T cell mediated immune response to tumor cell
2.43942 GO:0002759	 regulation of antimicrobial humoral response
2.43942 GO:0002635	 negative regulation of germinal center formation
2.43942 GO:0002572	 pro-T cell differentiation
2.43942 GO:0002542	 Factor XII activation
